Dia;Mes;ano;Hora;Minuto;Segundo;Temperatura
26;9;2012;20;2;0;20,5
26;9;2012;22;2;0;21,0
27;9;2012;0;2;0;21,0
27;9;2012;2;2;0;21,0
27;9;2012;4;2;0;20,5
27;9;2012;6;2;0;20,5
27;9;2012;8;2;0;22,5
27;9;2012;10;2;0;22,5
27;9;2012;12;2;0;23,5
27;9;2012;14;2;0;22,0
27;9;2012;16;2;0;21,5
27;9;2012;18;2;0;21,0
27;9;2012;20;2;0;20,5
27;9;2012;22;2;0;20,5
28;9;2012;0;2;0;20,5
28;9;2012;2;2;0;20,5
28;9;2012;4;2;0;20,0
28;9;2012;6;2;0;20,0
28;9;2012;8;2;0;20,5
28;9;2012;10;2;0;23,0
28;9;2012;12;2;0;23,0
28;9;2012;14;2;0;22,5
28;9;2012;16;2;0;22,0
28;9;2012;18;2;0;21,0
28;9;2012;20;2;0;20,5
28;9;2012;22;2;0;20,5
29;9;2012;0;2;0;20,5
29;9;2012;2;2;0;20,5
29;9;2012;4;2;0;20,5
29;9;2012;6;2;0;20,5
29;9;2012;8;2;0;21,0
29;9;2012;10;2;0;22,5
29;9;2012;12;2;0;21,5
29;9;2012;14;2;0;21,0
29;9;2012;16;2;0;21,0
29;9;2012;18;2;0;20,5
29;9;2012;20;2;0;20,5
29;9;2012;22;2;0;20,5
30;9;2012;0;2;0;20,5
30;9;2012;2;2;0;20,0
30;9;2012;4;2;0;20,0
30;9;2012;6;2;0;20,0
30;9;2012;8;2;0;21,5
30;9;2012;10;2;0;22,0
30;9;2012;12;2;0;23,0
30;9;2012;14;2;0;23,5
30;9;2012;16;2;0;21,5
30;9;2012;18;2;0;21,0
30;9;2012;20;2;0;20,5
30;9;2012;22;2;0;20,5
1;10;2012;0;2;0;20,0
1;10;2012;2;2;0;20,0
1;10;2012;4;2;0;20,0
1;10;2012;6;2;0;20,0
1;10;2012;8;2;0;21,0
1;10;2012;10;2;0;22,5
1;10;2012;12;2;0;22,5
1;10;2012;14;2;0;23,0
1;10;2012;16;2;0;22,0
1;10;2012;18;2;0;21,0
1;10;2012;20;2;0;20,5
1;10;2012;22;2;0;20,5
2;10;2012;0;2;0;20,5
2;10;2012;2;2;0;20,0
2;10;2012;4;2;0;20,0
2;10;2012;6;2;0;20,0
2;10;2012;8;2;0;20,5
2;10;2012;10;2;0;22,0
2;10;2012;12;2;0;23,5
2;10;2012;14;2;0;22,5
2;10;2012;16;2;0;22,0
